Column1,X,date,year,day,hhmmss,pixel_number,BH_Block,BH_Vine,BH_Leaf,round,E,A,Ci,gsw,Fv.Fm,Leaf_wp_bar,Stem_wp_bar,Leak,wrong_vine,Tleaf,leaf_temp_C
31,16,7/1/2019,2019,182,4:51:20 PM,35,B1_R1,2,1,4,0.003221454,7.769997806,250.1302625,0.103348806,0.774975295,NA,NA,No,No,36.95686552,NA
49,25,7/1/2019,2019,182,7:15:29 AM,35,B1_R1,3,1,1,0.001333996,-0.112849249,394.0871773,0.131023411,0.722566781,5.4,NA,No,No,18.87875161,NA
73,37,7/1/2019,2019,182,7:18:53 AM,35,B1_R1,4,1,1,0.000683098,-0.749619225,412.2004017,0.062405828,0.733712207,5.1,NA,No,No,19.44026774,NA
75,38,7/1/2019,2019,182,10:37:33 AM,35,B1_R1,4,1,2,0.004852865,14.64211216,252.4780835,0.209330408,0.774975295,10.1,NA,No,No,33.62277419,NA
77,39,7/1/2019,2019,182,2:24:23 PM,35,B1_R1,4,1,3,0.004637924,10.80436356,246.5464173,0.146437467,0.774975295,10.9,9.8,No,No,38.32753548,NA
79,40,7/1/2019,2019,182,4:37:17 PM,35,B1_R1,4,1,4,0.001773953,6.582673934,177.723659,0.05364585,0.774975295,10.4,NA,No,No,37.69728966,NA
22,11,NA,2019,213,NA,34,B1_R2,1,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
81,41,7/1/2019,2019,182,6:53:39 PM,35,B1_R1,4,1,5,0.002648433,7.137555757,270.1087775,0.109801001,0.774975295,8.8,NA,No,No,33.24046129,NA
24,12,NA,2019,213,NA,34,B1_R2,1,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
97,49,7/1/2019,2019,182,7:23:37 AM,35,B1_R1,5,1,1,0.001352393,-0.954370406,405.8808714,0.121497692,0.72659672,5.2,NA,No,No,19.65704194,NA
26,13,NA,2019,213,NA,34,B1_R2,1,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
121,61,7/1/2019,2019,182,7:25:58 AM,35,B1_R1,6,1,1,0.000973359,-0.547669437,402.9481152,0.087172373,0.782710009,5,NA,No,No,19.97919032,NA
28,14,NA,2019,213,NA,34,B1_R2,1,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
123,62,7/1/2019,2019,182,10:42:03 AM,35,B1_R1,6,1,2,0.006611501,16.28575392,283.8806195,0.33738505,0.774975295,9.3,NA,No,No,32.48052903,NA
30,15,NA,2019,213,NA,34,B1_R2,1,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
125,63,7/1/2019,2019,182,2:16:19 PM,35,B1_R1,6,1,3,0.008006373,16.22232201,263.3202603,0.28335301,0.774975295,NA,NA,No,No,37.72789355,NA
127,64,7/1/2019,2019,182,4:56:58 PM,35,B1_R1,6,1,4,0.001974489,6.65989623,215.7477869,0.067001076,0.774975295,NA,NA,No,No,36.06866897,NA
145,73,7/1/2019,2019,182,6:13:30 AM,45,B1_R2,1,1,1,0.00025807,-0.484060691,420.7719233,0.027658009,0.806596491,8.5,NA,No,No,17.04077097,NA
34,17,NA,2019,182,NA,35,B1_R1,2,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
147,74,7/1/2019,2019,182,10:06:17 AM,45,B1_R2,1,1,2,0.002071103,12.30590469,157.6348943,0.095735746,0.774975295,11.2,NA,No,No,31.01056129,NA
36,18,NA,2019,186,NA,35,B1_R1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
149,75,7/1/2019,2019,182,1:51:54 PM,45,B1_R2,1,1,3,0.005573992,5.243200793,324.7949806,0.181066408,0.774975295,NA,NA,No,No,37.82929032,NA
38,19,NA,2019,193,NA,35,B1_R1,2,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
151,76,7/1/2019,2019,182,5:03:48 PM,45,B1_R2,1,1,4,0.001241381,5.218251255,170.9278091,0.040384693,0.774975295,NA,NA,No,No,36.40515517,NA
40,20,NA,2019,193,NA,35,B1_R1,2,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
169,85,7/1/2019,2019,182,6:17:50 AM,45,B1_R2,2,1,1,0.000408606,-0.098587549,397.1285023,0.045830531,0.799238315,7.1,NA,No,No,16.63055161,NA
42,21,NA,2019,193,NA,35,B1_R1,2,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
193,97,7/1/2019,2019,182,6:23:32 AM,45,B1_R2,3,1,1,0.000421695,-0.474176274,410.0359223,0.046024256,0.748874089,3.9,NA,No,No,16.67054839,NA
44,22,NA,2019,193,NA,35,B1_R1,2,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
217,109,7/1/2019,2019,182,6:28:30 AM,45,B1_R2,4,1,1,0.000310181,-0.790136167,432.7046642,0.03442492,0.814297631,6.5,NA,No,No,16.45428065,NA
46,23,NA,2019,193,NA,35,B1_R1,2,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
219,110,7/1/2019,2019,182,10:16:44 AM,45,B1_R2,4,1,2,0.002197089,9.413195629,218.8616009,0.097416073,0.774975295,12.7,NA,No,No,32.41896452,NA
48,24,NA,2019,193,NA,35,B1_R1,2,1,6,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
221,111,7/1/2019,2019,182,1:41:30 PM,45,B1_R2,4,1,3,0.000622786,3.69797461,48.69334523,0.017805749,0.774975295,15,11.6,No,No,37.80383871,NA
223,112,7/1/2019,2019,182,5:09:43 PM,45,B1_R2,4,1,4,0.001274528,5.172964927,178.1166081,0.041483239,0.774975295,10.3,NA,No,No,36.35899655,NA
51,26,NA,2019,182,NA,35,B1_R1,3,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
52,26,NA,2019,248,NA,34,B1_R2,1,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
53,27,NA,2019,182,NA,35,B1_R1,3,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
54,27,NA,2019,248,NA,34,B1_R2,1,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
55,28,NA,2019,182,NA,35,B1_R1,3,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
56,28,NA,2019,248,NA,34,B1_R2,1,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
57,29,NA,2019,182,NA,35,B1_R1,3,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
58,29,NA,2019,248,NA,34,B1_R2,1,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
225,113,7/1/2019,2019,182,7:02:49 PM,45,B1_R2,4,1,5,0.00054482,1.259718863,293.3682271,0.022457586,0.774975295,10.4,NA,No,No,32.85497097,NA
60,30,NA,2019,248,NA,34,B1_R2,1,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
241,121,7/1/2019,2019,182,6:33:15 AM,45,B1_R2,5,1,1,0.000486003,0.050992477,390.9889163,0.052967922,0.795749555,5.4,NA,No,No,16.70626452,NA
243,122,7/1/2019,2019,182,10:23:42 AM,45,B1_R2,5,1,2,0.003039241,12.87366889,225.5106207,0.143642808,0.774975295,10.6,NA,No,No,32.4377871,NA
245,123,7/1/2019,2019,182,1:57:15 PM,45,B1_R2,5,1,3,0.004527875,11.59332712,226.325081,0.135727649,0.774975295,NA,NA,No,No,38.47720968,NA
64,32,NA,2019,193,NA,35,B1_R1,3,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
247,124,7/1/2019,2019,182,5:16:49 PM,45,B1_R2,5,1,4,0.002853378,9.305396152,214.7441883,0.09586477,0.774975295,NA,NA,No,No,36.34746207,NA
66,33,NA,2019,193,NA,35,B1_R1,3,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
265,133,7/1/2019,2019,182,6:36:10 AM,45,B1_R2,6,1,1,0.000435621,-0.261803194,402.8403281,0.049210646,0.803405243,6.1,NA,No,No,16.4836129,NA
68,34,NA,2019,193,NA,35,B1_R1,3,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
289,145,7/1/2019,2019,182,6:42:35 AM,55,B1_R3,1,1,1,0.000436003,-0.368374766,406.3840625,0.04724394,0.799029274,5.1,NA,No,No,16.84455806,NA
70,35,NA,2019,193,NA,35,B1_R1,3,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
71,36,NA,2019,193,NA,35,B1_R1,3,1,6,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
72,36,NA,2019,209,NA,34,B1_R2,2,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
291,146,7/1/2019,2019,182,11:01:51 AM,55,B1_R3,1,1,2,0.003356039,12.10960459,238.0381053,0.148911246,0.774975295,14.1,NA,No,No,33.06014516,NA
74,37,NA,2019,209,NA,34,B1_R2,2,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
293,147,7/1/2019,2019,182,2:42:29 PM,55,B1_R3,1,1,3,0.00375354,10.53053607,215.4621729,0.112379351,0.774975295,NA,NA,No,No,38.17498387,NA
76,38,NA,2019,209,NA,34,B1_R2,2,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
295,148,7/1/2019,2019,182,5:22:42 PM,55,B1_R3,1,1,4,0.001550056,6.21277795,165.4659925,0.047358541,0.774975295,NA,NA,No,No,37.33525517,NA
78,39,NA,2019,209,NA,34,B1_R2,2,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
313,157,7/1/2019,2019,182,6:46:42 AM,55,B1_R3,2,1,1,0.000579275,-0.391471933,403.741637,0.061876098,0.796087586,7.5,NA,No,No,17.08590323,NA
80,40,NA,2019,209,NA,34,B1_R2,2,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
337,169,7/1/2019,2019,182,6:49:40 AM,55,B1_R3,3,1,1,0.000437196,-0.19419534,400.6396105,0.046425061,0.79372617,5.5,NA,No,No,17.13870323,NA
339,170,7/1/2019,2019,182,10:55:57 AM,55,B1_R3,3,1,2,0.002966654,12.41801304,200.3018586,0.118605415,0.774975295,13.6,NA,No,No,33.80741935,NA
341,171,7/1/2019,2019,182,2:35:46 PM,55,B1_R3,3,1,3,0.001241527,4.105058146,177.5625418,0.033162273,0.774975295,15,11.5,No,No,38.92656774,NA
343,172,7/1/2019,2019,182,5:29:00 PM,55,B1_R3,3,1,4,0.001143946,5.413267358,137.2935728,0.035967821,0.774975295,14.3,NA,No,No,37.26753103,NA
345,173,7/1/2019,2019,182,7:10:58 PM,55,B1_R3,3,1,5,0.000948099,4.379266572,201.5481088,0.038998393,0.774975295,10.6,NA,No,No,32.65560645,NA
361,181,7/1/2019,2019,182,6:52:28 AM,55,B1_R3,4,1,1,0.00044059,-0.406812413,408.0656241,0.046259348,0.78578376,6.5,NA,No,No,17.27844839,NA
385,193,7/1/2019,2019,182,6:56:27 AM,55,B1_R3,5,1,1,0.000580583,-0.288840517,401.2744282,0.059978269,0.798401135,5.6,NA,No,No,17.57198387,NA
387,194,7/1/2019,2019,182,10:48:55 AM,55,B1_R3,5,1,2,0.002954477,13.34067892,176.0730435,0.112374942,0.774975295,12.1,NA,No,No,33.65927419,NA
389,195,7/1/2019,2019,182,2:47:41 PM,55,B1_R3,5,1,3,0.003162486,9.100560217,222.2627234,0.099260974,0.774975295,NA,NA,No,No,37.74487097,NA
391,196,7/1/2019,2019,182,5:35:29 PM,55,B1_R3,5,1,4,0.00261384,8.451490122,225.1027793,0.092168729,0.774975295,NA,NA,No,No,36.2344,NA
409,205,7/1/2019,2019,182,7:00:50 AM,55,B1_R3,6,1,1,0.000630067,-0.653118422,410.0786813,0.064142145,0.786186126,4.5,NA,No,No,17.8859129,NA
92,46,NA,2019,227,NA,34,B1_R2,2,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
433,217,7/1/2019,2019,182,6:07:39 AM,13,B2_R1,1,1,1,0.005237989,-1.970576798,400.1853771,0.505969697,0.804640887,3.7,NA,No,No,18.4246129,NA
94,47,NA,2019,227,NA,34,B1_R2,2,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
435,218,7/1/2019,2019,182,10:25:15 AM,13,B2_R1,1,1,2,0.006291224,22.96166195,270.1409098,0.340370204,0.776632986,8.5,NA,No,No,29.83678065,NA
96,48,NA,2019,227,NA,34,B1_R2,2,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
437,219,7/1/2019,2019,182,2:03:46 PM,13,B2_R1,1,1,3,0.006310222,18.55534911,244.4470209,0.223179556,0.776632986,NA,NA,No,No,35.74459677,NA
98,49,NA,2019,227,NA,34,B1_R2,2,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
99,50,NA,2019,182,NA,35,B1_R1,5,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
100,50,NA,2019,227,NA,34,B1_R2,2,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
101,51,NA,2019,182,NA,35,B1_R1,5,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
102,51,NA,2019,232,NA,34,B1_R2,2,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
103,52,NA,2019,182,NA,35,B1_R1,5,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
104,52,NA,2019,232,NA,34,B1_R2,2,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
105,53,NA,2019,182,NA,35,B1_R1,5,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
106,53,NA,2019,232,NA,34,B1_R2,2,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
439,220,7/1/2019,2019,182,4:31:10 PM,13,B2_R1,1,1,4,0.003383389,13.29229351,194.8101566,0.114576442,0.776632986,NA,NA,No,No,35.48988387,NA
108,54,NA,2019,232,NA,34,B1_R2,2,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
457,229,7/1/2019,2019,182,6:16:47 AM,13,B2_R1,2,1,1,0.000578843,-0.272095615,401.0788436,0.064868056,0.803408493,3.8,NA,No,No,17.51141935,NA
110,55,NA,2019,232,NA,34,B1_R2,2,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
481,241,7/1/2019,2019,182,6:59:36 AM,13,B2_R1,3,1,1,0.001216083,-0.586752627,401.407251,0.129472842,0.767223676,4.2,NA,No,No,18.23453226,NA
112,56,NA,2019,193,NA,35,B1_R1,5,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
483,242,7/1/2019,2019,182,10:31:11 AM,13,B2_R1,3,1,2,0.002549312,11.69341151,216.4957511,0.113284848,0.776632986,10.1,NA,No,No,31.03400323,NA
114,57,NA,2019,193,NA,35,B1_R1,5,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
485,243,7/1/2019,2019,182,10:29:28 AM,13,B2_R1,3,1,2,0.005729366,21.86397268,264.5413958,0.304151015,0.776632986,10.1,NA,No,No,30.30765484,NA
116,58,NA,2019,193,NA,35,B1_R1,5,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
487,244,7/1/2019,2019,182,1:55:20 PM,13,B2_R1,3,1,3,0.001478096,6.076131758,179.3338898,0.047182869,0.776632986,12.6,9.8,No,No,35.83712258,NA
118,59,NA,2019,193,NA,35,B1_R1,5,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
489,245,7/1/2019,2019,182,4:37:10 PM,13,B2_R1,3,1,4,0.002256117,9.778290624,175.5306911,0.075539286,0.776632986,10.5,NA,No,No,35.68856774,NA
120,60,NA,2019,193,NA,35,B1_R1,5,1,6,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
491,246,7/1/2019,2019,182,6:56:40 PM,13,B2_R1,3,1,5,0.000714584,4.859461011,130.9317568,0.030257861,0.776632986,9.4,NA,No,No,31.75909355,NA
507,254,7/1/2019,2019,182,7:02:46 AM,13,B2_R1,4,1,1,0.001557746,-0.610203929,399.8486514,0.171647569,0.770235532,2.4,NA,No,No,18.43944194,NA
531,266,7/1/2019,2019,182,7:05:42 AM,13,B2_R1,5,1,1,0.001088828,-0.019288296,393.16619,0.106583648,0.80507587,4.3,NA,No,No,19.24469032,NA
533,267,7/1/2019,2019,182,10:42:55 AM,13,B2_R1,5,1,2,0.005612761,18.81882297,267.6251651,0.294033047,0.776632986,9.7,NA,No,No,31.50556452,NA
535,268,7/1/2019,2019,182,2:10:46 PM,13,B2_R1,5,1,3,0.006950627,21.02013856,249.2394813,0.260678067,0.776632986,NA,NA,No,No,35.35385484,NA
537,269,7/1/2019,2019,182,4:44:43 PM,13,B2_R1,5,1,4,0.005175553,17.73849029,221.8118361,0.181416523,0.776632986,NA,NA,No,No,36.07112258,NA
555,278,7/1/2019,2019,182,7:08:41 AM,13,B2_R1,6,1,1,0.001180347,-0.273990547,397.2213525,0.128082516,0.7983072,4.3,NA,No,No,18.57373871,NA
579,290,7/1/2019,2019,182,7:57:08 AM,27,B2_R2,1,1,1,0.000531189,-0.911869198,424.7146872,0.04246967,0.792101855,7.9,NA,No,No,21.50962581,NA
581,291,7/1/2019,2019,182,11:14:54 AM,27,B2_R2,1,1,2,0.002030546,8.764169705,178.0516089,0.071985248,0.774975295,13.8,NA,No,No,34.88515806,NA
130,65,NA,2019,182,NA,35,B1_R1,6,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
131,66,NA,2019,186,NA,35,B1_R1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
132,66,NA,2019,209,NA,34,B1_R2,3,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
133,67,NA,2019,193,NA,35,B1_R1,6,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
134,67,NA,2019,209,NA,34,B1_R2,3,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
583,292,7/1/2019,2019,182,3:33:58 PM,27,B2_R2,1,1,3,0.001050124,6.903536469,17.91991897,0.03080104,0.774975295,NA,NA,No,No,37.4550129,NA
136,68,NA,2019,209,NA,34,B1_R2,3,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
585,293,7/1/2019,2019,182,6:13:42 PM,27,B2_R2,1,1,4,0.002365307,7.415379993,235.6609547,0.085830505,0.774975295,NA,NA,No,No,35.37157586,NA
138,69,NA,2019,209,NA,34,B1_R2,3,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
603,302,7/1/2019,2019,182,8:01:44 AM,27,B2_R2,2,1,1,0.001798707,-0.803317826,401.0900178,0.143325345,0.754947762,8.1,NA,No,No,22.13279032,NA
140,70,NA,2019,209,NA,34,B1_R2,3,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
627,314,7/1/2019,2019,182,8:04:56 AM,27,B2_R2,3,1,1,0.001670277,-0.584673776,399.0121199,0.128305501,0.763298677,8.2,NA,No,No,22.66264516,NA
651,326,7/1/2019,2019,182,8:07:28 AM,27,B2_R2,4,1,1,0.000351411,-0.439763578,419.3392947,0.024712822,0.760209974,8,NA,No,No,23.38511613,NA
653,327,7/1/2019,2019,182,11:21:03 AM,27,B2_R2,4,1,2,0.002827411,9.706717678,218.7735802,0.1025,0.774975295,14.7,NA,No,No,34.87414839,NA
655,328,7/1/2019,2019,182,3:39:21 PM,27,B2_R2,4,1,3,0.002077316,6.519766183,200.0992122,0.060444444,0.774975295,17.4,12.6,No,No,38.23367097,NA
657,329,7/1/2019,2019,182,6:07:11 PM,27,B2_R2,4,1,4,0.002538997,9.757580206,189.9019585,0.086533905,0.774975295,9.5,NA,No,No,35.90994483,NA
659,330,7/1/2019,2019,182,7:32:33 PM,27,B2_R2,4,1,5,0.000644443,3.449734146,190.3544989,0.028548974,0.774975295,7.8,NA,No,No,31.30564194,NA
675,338,7/1/2019,2019,182,8:16:39 AM,27,B2_R2,5,1,1,0.002081833,-0.639253484,397.8410844,0.144376311,0.768870798,9,NA,No,No,24.31470968,NA
677,339,7/1/2019,2019,182,11:26:41 AM,27,B2_R2,5,1,2,0.002855849,11.77694429,192.5891048,0.107041832,0.774975295,13.1,NA,No,No,35.10036774,NA
679,340,7/1/2019,2019,182,3:44:48 PM,27,B2_R2,5,1,3,0.001439875,5.033155684,169.1000777,0.039038473,0.774975295,NA,NA,No,No,39.36743226,NA
681,341,7/1/2019,2019,182,6:01:39 PM,27,B2_R2,5,1,4,0.001155216,6.073751593,146.6247074,0.041878321,0.774975295,NA,NA,No,No,35.2192069,NA
699,350,7/1/2019,2019,182,8:23:45 AM,27,B2_R2,6,1,1,0.002168925,-1.210304091,403.9109082,0.146060412,0.774276284,9,NA,No,No,25.15136129,NA
152,76,NA,2019,227,NA,34,B1_R2,3,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
153,77,NA,2019,182,NA,45,B1_R2,1,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
154,77,NA,2019,227,NA,34,B1_R2,3,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
155,78,NA,2019,186,NA,45,B1_R2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
156,78,NA,2019,227,NA,34,B1_R2,3,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
723,362,7/1/2019,2019,182,7:22:30 AM,75,B2_R3,1,1,1,0.001259472,-0.463552193,399.4013028,0.116144071,0.789688383,5.9,NA,No,No,20.1835,NA
158,79,NA,2019,227,NA,34,B1_R2,3,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
725,363,7/1/2019,2019,182,11:21:29 AM,75,B2_R3,1,1,2,0.001936571,9.539611056,172.0845732,0.072627816,0.776632986,16.9,NA,No,No,34.0980129,NA
160,80,NA,2019,227,NA,34,B1_R2,3,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
727,364,7/1/2019,2019,182,3:37:48 PM,75,B2_R3,1,1,3,0.001668859,5.747383069,164.5663027,0.042612752,0.776632986,NA,NA,No,No,38.61599355,NA
162,81,NA,2019,232,NA,34,B1_R2,3,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
729,365,7/1/2019,2019,182,5:46:58 PM,75,B2_R3,1,1,4,0.000872419,4.308286772,131.4519597,0.027229349,0.776632986,NA,NA,No,No,36.41580968,NA
164,82,NA,2019,232,NA,34,B1_R2,3,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
747,374,7/1/2019,2019,182,7:25:43 AM,75,B2_R3,2,1,1,0.000909254,-0.582494842,404.5820369,0.08125856,0.802667543,6,NA,No,No,20.52970645,NA
166,83,NA,2019,232,NA,34,B1_R2,3,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
771,386,7/1/2019,2019,182,7:29:14 AM,75,B2_R3,3,1,1,0.000147302,-0.531255116,465.5946116,0.011529403,0.671280547,7.3,NA,No,No,21.66527419,NA
168,84,NA,2019,232,NA,34,B1_R2,3,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
773,387,7/1/2019,2019,182,11:28:35 AM,75,B2_R3,3,1,2,0.000857937,4.935248923,127.5874805,0.030527665,0.776632986,16.1,NA,No,No,34.74722258,NA
170,85,NA,2019,232,NA,34,B1_R2,3,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
775,388,7/1/2019,2019,182,3:41:34 PM,75,B2_R3,3,1,3,0.001576028,7.489720486,115.269928,0.044946815,0.776632986,15.1,13.5,No,No,38.35941935,NA
172,86,NA,2019,182,NA,45,B1_R2,2,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
777,389,7/1/2019,2019,182,5:53:26 PM,75,B2_R3,3,1,4,0.001712603,8.115201465,152.3519592,0.056265949,0.776632986,14,NA,No,No,36.05834516,NA
174,87,NA,2019,182,NA,45,B1_R2,2,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
779,390,7/1/2019,2019,182,7:16:13 PM,75,B2_R3,3,1,5,0.000895907,5.385977039,162.8241993,0.038430794,0.776632986,11.2,NA,No,No,31.38888065,NA
176,88,NA,2019,182,NA,45,B1_R2,2,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
797,399,7/1/2019,2019,182,7:33:26 AM,75,B2_R3,4,1,1,0.000534624,-0.09338596,395.9329255,0.048775011,0.779514005,8.7,NA,No,No,20.9617,NA
178,89,NA,2019,182,NA,45,B1_R2,2,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
821,411,7/1/2019,2019,182,7:41:37 AM,75,B2_R3,5,1,1,0.000447044,-0.577986406,417.4847252,0.037486487,0.777900175,7.3,NA,No,No,22.00336129,NA
180,90,NA,2019,186,NA,45,B1_R2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
181,91,NA,2019,193,NA,45,B1_R2,2,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
182,91,NA,2019,206,NA,34,B1_R2,4,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
183,92,NA,2019,193,NA,45,B1_R2,2,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
184,92,NA,2019,206,NA,34,B1_R2,4,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
