"","X.1","X","date","year","day","hhmmss","pixel_number","BH_Block","BH_Vine","BH_Leaf","round","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","Leaf_wp_bar","Stem_wp_bar","Leak","wrong_vine","treatment","Rep","leaf_temp_C"
"27",59,30,"07-05-2019",2019,186,"12:53:03",35,"B1_R1",3,1,"midday",0.007895157,19.6037834,258.7823597,0.269145518,0.816962262,37.54946129,38.65798065,3.006758546,50.58721573,NA,NA,NA,NA,2,2,NA
"28",61,31,"07-25-2019",2019,206,"5:17:02",34,"B1_R2",2,1,"1",0.000199771,-0.262614593,417.1829779,0.016461742,0.832194713,21.8271129,23.24041935,1.205259693,49.64662833,-2.9,NA,"No","No",1,2,NA
"29",63,32,"07-12-2019",2019,193,"05:43:48",35,"B1_R1",3,1,"1",0.001376622,-0.560343959,399.9979066,0.132316718,0.740639561,19.36459677,20.38203548,1.06472212,49.57463927,-2.55,NA,"No","No",2,2,NA
"30",64,32,"07-25-2019",2019,206,"08:38:33",34,"B1_R2",2,1,"2",0.004002394,13.11042598,277.8092027,0.207177932,0.780944786,30.77128065,32.35966452,1.978561663,50.77441829,-6.2,NA,"No","No",1,2,"28.8"
"31",65,33,"07-25-2019",2019,206,"10:36:14",34,"B1_R2",2,1,"3",0.007025581,19.0314419,237.3472563,0.21968797,0.828194567,38.35060323,39.09402903,3.226980031,50.37802878,-13.6,NA,"No","No",1,2,"28.8"
"32",67,34,"07-25-2019",2019,206,"12:59:28",34,"B1_R2",2,1,"4",0.004851051,13.97867104,179.8966891,0.116251505,0.8031225,42.61117742,42.53367419,4.053597466,52.59408885,-16.4,-10.1,"No","No",1,2,"35.2"
"33",69,35,"07-25-2019",2019,206,"16:27:54",34,"B1_R2",2,1,"5",0.006215869,9.967190642,179.4745887,0.087926459,0.780944786,43.09847742,44.27208387,6.89547551,19.78985173,-16.5,NA,"No","No",1,2,"37.9"
"34",75,38,"07-01-2019",2019,182,"7:18:53",35,"B1_R1",4,1,"1",0.000683098,-0.749619225,412.2004017,0.062405828,0.733712207,19.44026774,19.98239677,1.105291453,49.53842982,-5.1,NA,"No","No",2,2,NA
"35",77,39,"07-01-2019",2019,182,"10:37:33",35,"B1_R1",4,1,"2",0.004852865,14.64211216,252.4780835,0.209330408,0.774975295,33.62277419,34.14898387,2.359594153,53.30810403,-10.1,NA,"No","No",2,2,NA
"36",79,40,"07-01-2019",2019,182,"14:24:23",35,"B1_R1",4,1,"3",0.004637924,10.80436356,246.5464173,0.146437467,0.774975295,38.32753548,39.10853226,3.13328301,51.54481373,-10.9,-9.8,"No","No",2,2,NA
"37",81,41,"07-01-2019",2019,182,"16:37:17",35,"B1_R1",4,1,"4",0.001773953,6.582673934,177.723659,0.05364585,0.774975295,37.69728966,37.85591724,3.205119054,50.62051,-10.4,NA,"No","No",2,2,NA
"38",82,41,"08-01-2019",2019,213,"5:22:06",34,"B1_R2",2,1,"1",0.000507572,-0.511558406,410.2472023,0.049494516,0.828618922,18.97195484,20.72034516,1.030629467,47.71803975,-2.5,NA,"No","No",1,2,NA
"39",83,42,"07-01-2019",2019,182,"18:53:39",35,"B1_R1",4,1,"5",0.002648433,7.137555757,270.1087775,0.109801001,0.774975295,33.24046129,34.00879677,2.393223353,51.0238148,-8.8,NA,"No","No",2,2,NA
"40",84,42,"08-01-2019",2019,213,"8:24:13",34,"B1_R2",2,1,"2",0.002548436,10.55170057,261.2402678,0.150320059,0.844341626,27.40325161,28.46077742,1.727745084,49.69408917,-5.4,NA,"No","No",1,2,"22.1"
"41",85,43,"07-05-2019",2019,186,"12:57:49",35,"B1_R1",4,1,"midday",0.004173155,12.08761012,226.8160833,0.128022682,0.816962262,38.55003871,39.16547419,3.225788954,51.23830223,NA,NA,NA,NA,2,2,NA
"42",86,43,"08-01-2019",2019,213,"10:34:44",34,"B1_R2",2,1,"3",0.008184099,21.07648348,266.665083,0.390785916,-0.882032144,32.87636774,34.09392903,2.231081333,51.87117806,-9.5,NA,"No","No",1,2,"26.4"
"43",87,44,"08-01-2019",2019,213,"13:20:51",34,"B1_R2",2,1,"4",0.0083769,15.42299233,262.2269443,0.264661197,0.844341626,38.66882258,39.84520323,3.22744635,49.98191275,-11.8,-6.8,"No","No",1,2,"29.6"
"44",89,45,"07-12-2019",2019,193,"05:48:51",35,"B1_R1",4,1,"1",0.011716295,-0.365456026,397.3549747,5.955620977,0.784850776,16.771,19.79793226,0.464251876,62.66768221,-2.46,NA,"No","No",2,2,NA
"45",90,45,"08-01-2019",2019,213,"16:23:13",34,"B1_R2",2,1,"5",0.005384011,12.5215337,246.9669196,0.17410117,-0.882032144,37.647425,38.7433,3.096587071,49.55925627,-12,NA,"No","No",1,2,"29.4"
"46",91,46,"07-12-2019",2019,193,"8:57:39",35,"B1_R1",4,1,"2",0.001909896,9.634234962,245.7618128,0.11026757,0.822410922,28.46596774,29.75818065,1.745323194,51.26178828,-8.6,NA,"No","No",2,2,NA
"47",93,47,"07-12-2019",2019,193,"12:08:19",35,"B1_R1",4,1,"3",0.003529278,11.55259812,201.1643355,0.103499953,0.822410922,38.28480323,38.56402258,3.356558351,49.59815538,-12,NA,"No","No",2,2,NA
"48",95,48,"07-12-2019",2019,193,"14:30:23",35,"B1_R1",4,1,"4",0.003201756,10.59536053,179.6838946,0.086921274,0.822410922,41.27398065,42.57217419,3.564920245,51.42296249,-14.4,-9.9,"No","No",2,2,NA
"49",97,49,"07-12-2019",2019,193,"17:28:25",35,"B1_R1",4,1,"5",0.003719175,8.86055327,214.8115239,0.088123327,0.760068969,42.15554839,42.54061935,4.056991798,50.16120078,-14.88,NA,"No","No",2,2,NA
"50",99,50,"07-12-2019",2019,193,"19:39:11",35,"B1_R1",4,1,"6",-0.001004398,2.715276887,468.2392428,-0.052403724,0.822410922,35.06886452,35.30725806,1.814761245,67.10282484,-10,NA,"No","No",2,2,NA
"51",101,51,"07-01-2019",2019,182,"7:23:37",35,"B1_R1",5,1,"1",0.001352393,-0.954370406,405.8808714,0.121497692,0.72659672,19.65704194,20.38207097,1.139705674,48.17603405,-5.2,NA,"No","No",2,2,NA
"52",111,56,"07-05-2019",2019,186,"13:03:28",35,"B1_R1",5,1,"midday",0.009164812,19.79267083,278.4716638,0.323326528,0.816962262,37.60626129,38.89788387,2.939884421,51.18183377,NA,NA,NA,NA,2,2,NA
"53",112,56,"09-05-2019",2019,248,"05:43:36",34,"B1_R2",2,1,"1",0.000328254,-0.514946595,425.3357404,0.024535374,0.822907558,23.23104839,24.43150645,1.329079624,49.79081365,-3.4,NA,"No","No",1,2,NA
"54",113,57,"09-05-2019",2019,248,"8:32:08",34,"B1_R2",2,1,"2",0.004151799,14.57124076,266.1354378,0.233545206,0,29.30920968,30.68492903,1.840498807,50.86471762,-9.2,NA,"No","No",1,2,NA
"55",115,58,"07-12-2019",2019,193,"05:53:51",35,"B1_R1",5,1,"1",0.010572548,-0.486182097,397.4349833,4.911064326,0.811447325,15.42363871,19.26167419,0.458058664,58.02262914,-1.88,NA,"No","Yes (6)",2,2,NA
"56",116,58,"09-05-2019",2019,248,"11:15:34",34,"B1_R2",2,1,"3",0.006297526,13.51516269,268.3411818,0.232213814,0.839705664,35.75481935,36.7096,2.771749303,50.22946566,-15.1,NA,"No","No",1,2,NA
"57",117,59,"09-05-2019",2019,248,"13:30:04",34,"B1_R2",2,1,"4",0.004757053,13.27180441,234.7041926,0.165063713,0.821130852,37.12297419,37.58164839,2.888420581,53.14988354,-18.4,-10.7,"No","No",1,2,NA
"58",119,60,"09-05-2019",2019,248,"16:27:45",34,"B1_R2",2,1,"5",0.004053695,10.22871052,240.0228362,0.130279967,0.839705664,38.07205806,39.40333226,3.080402013,50.17587831,-14.2,NA,"No","No",1,2,NA
"59",121,61,"07-25-2019",2019,206,"5:20:06",34,"B1_R2",3,1,"1",0.000249141,-0.13846087,401.9758775,0.019984336,0.814767182,21.85899032,22.97553548,1.239370695,49.4185044,-4.2,NA,"No","No",1,2,NA
"60",123,62,"07-25-2019",2019,206,"08:32:43",34,"B1_R2",3,1,"2",0.002445839,18.37813637,97.02986899,0.115085704,0.780944786,30.94025484,31.81957097,2.130759731,50.04244147,-5.1,NA,"No","No",1,2,"27.6"
"61",125,63,"07-25-2019",2019,206,"10:42:02",34,"B1_R2",3,1,"3",0.007738278,18.38134343,249.874291,0.234327862,0.828194567,38.87350968,39.46611613,3.338909319,50.52262574,-13.5,NA,"No","No",1,2,"30.8"
"62",127,64,"07-01-2019",2019,182,"7:25:58",35,"B1_R1",6,1,"1",0.000973359,-0.547669437,402.9481152,0.087172373,0.782710009,19.97919032,20.62291935,1.133443099,49.6231199,-5,NA,"No","No",2,2,NA
"63",128,64,"07-25-2019",2019,206,"12:55:58",34,"B1_R2",3,1,"4",0.003529045,11.89342912,151.9367411,0.083598636,0.8031225,41.6468129,42.02121613,4.08776944,48.51211655,-14.5,-9.9,"No","No",1,2,"36.6"
"64",129,65,"07-01-2019",2019,182,"10:42:03",35,"B1_R1",6,1,"2",0.006611501,16.28575392,283.8806195,0.33738505,0.774975295,32.48052903,34.49466452,2.056823775,51.88579889,-9.3,NA,"No","No",2,2,NA
"65",130,65,"07-25-2019",2019,206,"16:25:32",34,"B1_R2",3,1,"5",0.005621361,8.559498761,191.7809483,0.08063049,0.780944786,42.67794516,44.13120645,6.798348904,18.92587596,-16,NA,"No","No",1,2,"37.2"
"66",131,66,"07-01-2019",2019,182,"14:16:19",35,"B1_R1",6,1,"3",0.008006373,16.22232201,263.3202603,0.28335301,0.774975295,37.72789355,38.87829355,2.888053401,52.59716834,NA,NA,"No","No",2,2,NA
"67",133,67,"07-01-2019",2019,182,"16:56:58",35,"B1_R1",6,1,"4",0.001974489,6.65989623,215.7477869,0.067001076,0.774975295,36.06866897,36.32373103,2.876855572,51.26041642,NA,NA,"No","No",2,2,NA
"68",141,71,"07-12-2019",2019,193,"9:02:05",35,"B1_R1",6,1,"2",0.005479375,15.44220485,316.3954898,0.382093886,0.822410922,27.95809677,29.90831613,1.53766354,53.04109607,-7.1,NA,"No","No",2,2,NA
"69",142,71,"08-01-2019",2019,213,"5:19:50",34,"B1_R2",3,1,"1",0.000568199,-0.718141031,415.6587922,0.052296215,0.836970366,19.75773548,20.91012581,1.091768312,49.14513249,-2,NA,"No","No",1,2,NA
"70",143,72,"07-12-2019",2019,193,"12:14:18",35,"B1_R1",6,1,"3",0.010206404,23.74063059,269.6684285,0.364757602,0.822410922,37.3621,38.63073871,2.927783316,50.85166881,-10.8,NA,"No","No",2,2,NA
"71",144,72,"08-01-2019",2019,213,"8:15:56",34,"B1_R2",3,1,"2",0.002360147,10.40881838,258.5271149,0.143978599,0.844341626,26.46731613,27.11945161,1.670813022,49.88107455,-6.6,NA,"No","No",1,2,"22.2"
"72",145,73,"07-12-2019",2019,193,"14:24:21",35,"B1_R1",6,1,"4",0.008957827,14.40193854,281.0210517,0.250743794,0.822410922,41.2712129,42.07849677,3.59327679,52.4178546,-13.5,-10.1,"No","No",2,2,NA
"73",146,73,"08-01-2019",2019,213,"10:29:10",34,"B1_R2",3,1,"3",0.007365884,20.19357197,265.1427318,0.357991341,-0.882032144,32.21184839,33.45226129,2.179765401,51.19483597,-10,NA,"No","No",1,2,"27.7"
"74",147,74,"07-12-2019",2019,193,"17:33:09",35,"B1_R1",6,1,"5",0.003180032,6.358020198,243.3502545,0.076879779,0.760068969,41.91196129,42.23203226,3.967694402,50.78163245,-13.07,NA,"No","No",2,2,NA
"75",148,74,"08-01-2019",2019,213,"13:14:38",34,"B1_R2",3,1,"4",0.008725595,17.71280519,252.7598355,0.284000596,0.844341626,38.06092581,39.37826129,3.152818329,49.17737779,-12.4,-9.4,"No","No",1,2,"31.4"
"76",149,75,"07-12-2019",2019,193,"19:44:36",35,"B1_R1",6,1,"6",0.000659878,2.072556236,257.0501713,0.026070539,0.822410922,33.96540323,35.07795484,2.460521756,50.63082938,-5.9,NA,"No","No",2,2,NA
"77",150,75,"08-01-2019",2019,213,"16:19:26",34,"B1_R2",3,1,"5",0.007038992,14.11180537,262.3623583,0.230441955,-0.882032144,38.3388875,38.694425,3.090523683,53.38583438,-11.5,NA,"No","No",1,2,"31.5"
"78",151,76,"07-01-2019",2019,182,"6:13:30",45,"B1_R2",1,1,"1",0.00025807,-0.484060691,420.7719233,0.027658009,0.806596491,17.04077097,17.63337419,0.936184967,50.0693805,-8.5,NA,"No","No",3,1,NA
"79",153,77,"07-01-2019",2019,182,"10:06:17",45,"B1_R2",1,1,"2",0.002071103,12.30590469,157.6348943,0.095735746,0.774975295,31.01056129,31.71446774,2.157316784,50.16074788,-11.2,NA,"No","No",3,1,NA
"80",155,78,"07-01-2019",2019,182,"13:51:54",45,"B1_R2",1,1,"3",0.005573992,5.243200793,324.7949806,0.181066408,0.774975295,37.82929032,38.4780871,3.076403024,51.51762872,NA,NA,"No","No",3,1,NA
"81",157,79,"07-01-2019",2019,182,"17:03:48",45,"B1_R2",1,1,"4",0.001241381,5.218251255,170.9278091,0.040384693,0.774975295,36.40515517,36.5114931,2.979846282,50.8770183,NA,NA,"No","No",3,1,NA
"82",163,82,"07-12-2019",2019,193,"05:59:12",45,"B1_R2",1,1,"1",0.009608473,-0.268028085,396.8752706,2.766666006,0.8120701,15.47796452,19.11813548,0.570699739,53.74973224,-2.67,NA,"No","No",3,1,NA
"83",165,83,"07-12-2019",2019,193,"9:15:20",45,"B1_R2",1,1,"2",0.00285185,26.83163421,63.32359438,0.145861697,0.822410922,30.11626774,30.50979032,1.981267404,52.60586638,-10.1,NA,"No","No",3,1,NA
"84",167,84,"07-12-2019",2019,193,"11:42:44",45,"B1_R2",1,1,"3",0.004618973,14.32453465,209.3451721,0.135993241,0.822410922,38.57989355,38.84598387,3.366060565,50.27249619,-14.3,NA,"No","No",3,1,NA
"85",169,85,"07-12-2019",2019,193,"13:53:15",45,"B1_R2",1,1,"4",0.001906665,5.010580459,205.4721747,0.046643538,0.822410922,41.25996129,41.59712258,3.928524653,49.55269359,-15.2,-11.1,"No","No",3,1,NA
"86",171,86,"07-12-2019",2019,193,"17:04:56",45,"B1_R2",1,1,"5",0.003297823,7.01828474,220.1030983,0.072993255,0.760068969,43.67421935,44.19406452,4.30220063,50.79997664,-14.51,NA,"No","No",3,1,NA
"87",172,86,"09-05-2019",2019,248,"05:40:19",34,"B1_R2",3,1,"1",0.000345133,-0.886410378,450.5783633,0.023936959,0.807988936,23.83156452,24.47853226,1.431261264,49.7555646,-2.9,NA,"No","No",1,2,NA
"88",173,87,"07-12-2019",2019,193,"19:18:38",45,"B1_R2",1,1,"6",0.000273272,3.346061051,28.75164456,0.014646138,0.822410922,35.2038871,36.57924194,1.795560688,63.57036169,-10.7,NA,"No","No",3,1,NA
"89",174,87,"09-05-2019",2019,248,"8:18:24",34,"B1_R2",3,1,"2",0.003965682,15.01516346,262.0298957,0.231438281,0.821130852,27.91526452,28.73518387,1.778418092,50.44031709,-8.6,NA,"No","No",1,2,NA
"90",175,88,"07-01-2019",2019,182,"6:17:50",45,"B1_R2",2,1,"1",0.000408606,-0.098587549,397.1285023,0.045830531,0.799238315,16.63055161,17.37323548,0.898704031,50.26491421,-7.1,NA,"No","No",3,1,NA
"91",176,88,"09-05-2019",2019,248,"11:08:11",34,"B1_R2",3,1,"3",0.005264655,13.66232065,243.4451476,0.184802734,0.839705664,35.49367097,35.52459677,2.884489312,50.22135074,-14,NA,"No","No",1,2,NA
"92",177,89,"09-05-2019",2019,248,"13:24:48",34,"B1_R2",3,1,"4",0.006037197,16.50876933,233.8882498,0.214316482,0.821130852,36.56325484,37.5118871,2.860991335,50.82581216,-20.6,-8.3,"No","No",1,2,NA
"93",179,90,"09-05-2019",2019,248,"16:22:21",34,"B1_R2",3,1,"5",0.00622237,15.06061465,221.0382858,0.178117311,0.839705664,39.19958387,39.5343,3.489756113,49.95997222,-14.5,NA,"No","No",1,2,NA
"94",191,96,"07-28-2019",2019,209,"5:55:38",34,"B1_R2",4,1,"1",0.00059897,1.292354552,341.3714283,0.043152947,0.818536258,23.20258065,23.97216452,1.386236211,49.10567787,-3,NA,"No","No",1,2,NA
"95",193,97,"07-28-2019",2019,209,"08:51:04",34,"B1_R2",4,1,"2",0.008486836,13.189425,293.5472007,0.315601629,0.791868226,34.76898824,36.79894118,2.801863094,44.4939709,-6.9,NA,"No","No",1,2,"31.4"
"96",195,98,"07-28-2019",2019,209,"11:33:27",34,"B1_R2",4,1,"3",0.009908512,16.68843496,257.0685504,0.283630343,-2.468867793,38.91485714,41.37935714,3.581073224,42.78719814,-15,NA,"No","No",1,2,"32.2"
"97",197,99,"07-28-2019",2019,209,"13:43:41",34,"B1_R2",4,1,"4",0.008665196,11.21262488,258.3165152,0.18810866,0.791868226,45.02266452,45.74450323,4.50186015,51.40337676,-13.4,-9.4,"No","No",1,2,"37.9"
"98",199,100,"07-01-2019",2019,182,"6:23:32",45,"B1_R2",3,1,"1",0.000421695,-0.474176274,410.0359223,0.046024256,0.748874089,16.67054839,17.25841613,0.92379231,49.60641955,-3.9,NA,"No","No",3,1,NA
"99",200,100,"07-28-2019",2019,209,"16:39:19",34,"B1_R2",4,1,"5",0.005414195,4.863178714,277.8646442,0.095782686,-2.468867793,45.53776452,46.1554,5.414944308,43.94006411,-14.8,NA,"No","No",1,2,"34.2"
"100",211,106,"07-12-2019",2019,193,"06:02:57",45,"B1_R2",3,1,"1",0.003354439,-0.203003638,394.5586467,0.357696054,0.819749354,17.35332903,19.27253548,1.013156177,43.48607489,-3.06,NA,"No","No",3,1,NA
"101",212,106,"08-15-2019",2019,227,"05:58:18",34,"B1_R2",4,1,"1",0.000462128,23.81201691,-632.3958345,0.038427135,0.795916873,21.50915806,22.9256871,1.202662279,48.89253429,-1.7,NA,"No","No",1,2,NA
"102",213,107,"08-15-2019",2019,227,"8:35:40",34,"B1_R2",4,1,"2",0.004706669,12.48119252,255.1200612,0.18179006,0.804241053,34.06167742,34.29363548,2.625671734,50.37143576,-11.1,NA,"No","No",1,2,"18.4"
"103",215,108,"08-15-2019",2019,227,"11:13:12",34,"B1_R2",4,1,"3",0.008426297,20.79156551,244.0296107,0.256132752,0.906757924,39.50021613,40.43424516,3.340769404,51.10083315,-13.4,NA,"No","No",1,2,"32.3"
"104",217,109,"08-15-2019",2019,227,"13:37:27",34,"B1_R2",4,1,"4",0.003884114,4.116641245,276.304015,0.075188671,0.804241053,45.71546452,45.78445484,4.91714128,50.64851193,-13.1,-9.5,"No","No",1,2,"40.8"
"105",219,110,"08-15-2019",2019,227,"16:30:32",34,"B1_R2",4,1,"5",0.006370801,10.81623165,219.5495394,0.116302838,0.906757924,44.65038387,47.17463226,5.294813668,38.71871295,-13.1,NA,"No","No",1,2,"36.1"
"106",221,111,"08-20-2019",2019,232,"5:35:55",34,"B1_R2",4,1,"1",0.004123082,-1.10478372,397.9942149,0.614410616,0.798664696,18.73543333,19.83544444,0.766304136,60.38951015,-1.4,NA,"No","No",1,2,NA
"107",223,112,"07-01-2019",2019,182,"6:28:30",45,"B1_R2",4,1,"1",0.000310181,-0.790136167,432.7046642,0.03442492,0.814297631,16.45428065,17.12235806,0.906036689,49.61416583,-6.5,NA,"No","No",3,1,NA
"108",224,112,"08-20-2019",2019,232,"8:37:47",34,"B1_R2",4,1,"2",0.002614084,14.23753693,241.440684,0.17808558,0.820766037,24.85449032,25.84718065,1.51316934,49.01597337,-4.4,NA,"No","No",1,2,"21.1"
"109",225,113,"07-01-2019",2019,182,"10:16:44",45,"B1_R2",4,1,"2",0.002197089,9.413195629,218.8616009,0.097416073,0.774975295,32.41896452,33.44661613,2.242494079,51.09761258,-12.7,NA,"No","No",3,1,NA
"110",226,113,"08-20-2019",2019,232,"11:01:44",34,"B1_R2",4,1,"3",0.007801835,19.4560656,265.7192288,0.350231841,0.814224199,32.95353871,33.75060645,2.357283219,50.8935948,-9.1,NA,"No","No",1,2,"24.5"
"111",227,114,"07-01-2019",2019,182,"13:41:30",45,"B1_R2",4,1,"3",0.000622786,3.69797461,48.69334523,0.017805749,0.774975295,37.80383871,37.35066452,3.367888187,50.08814913,-15,-11.6,"No","No",3,1,NA
"112",228,114,"08-20-2019",2019,232,"13:00:46",34,"B1_R2",4,1,"4",0.007932063,15.56648611,282.4889324,0.322417331,0.820766037,35.58096,36.33544,2.561768189,53.79960917,-13.6,-11.4,"No","No",1,2,"27.1"
"113",229,115,"07-01-2019",2019,182,"17:09:43",45,"B1_R2",4,1,"4",0.001274528,5.172964927,178.1166081,0.041483239,0.774975295,36.35899655,36.29253103,2.979739783,51.2388212,-10.3,NA,"No","No",3,1,NA
"114",230,115,"08-20-2019",2019,232,"16:31:10",34,"B1_R2",4,1,"5",0.005319151,12.46879601,256.703487,0.187146122,0.814224199,36.87213,37.738775,2.862061218,51.78467963,-11.1,NA,"No","No",1,2,"29.2"
"115",231,116,"07-01-2019",2019,182,"19:02:49",45,"B1_R2",4,1,"5",0.00054482,1.259718863,293.3682271,0.022457586,0.774975295,32.85497097,33.5741129,2.359220969,50.82742912,-10.4,NA,"No","No",3,1,NA
"116",235,118,"07-12-2019",2019,193,"06:05:43",45,"B1_R2",4,1,"1",0.000472761,-0.121783382,397.6611193,0.047469767,0.787027048,18.07088387,19.42236774,1.000360722,47.71104863,-3.07,NA,"No","No",3,1,NA
