Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
166,Lodi West,San Joaquin Valley,9/23/2000,267,3.75, ,0, ,228, ,1.3, ,27, ,11, ,18.1, ,95, ,29, ,63, ,10.9, ,1.1, ,95.8, ,20.6, 
166,Lodi West,San Joaquin Valley,9/24/2000,268,3.68, ,0, ,223, ,1.3, ,29.3, ,8.3, ,18.5, ,95, ,30, ,60, ,10.6, ,0.8, ,65.5, ,20, 
166,Lodi West,San Joaquin Valley,9/25/2000,269,3.71, ,0, ,221, ,1.3, ,32.3, ,10.6, ,20.4, ,91, ,26, ,56, ,11.2, ,0.7, ,61.9, ,19.8, 
166,Lodi West,San Joaquin Valley,9/26/2000,270,3.81, ,0, ,218, ,1.4, ,32.3, ,10.4, ,20.6, ,90, ,28, ,59, ,12.3, ,1, ,89.8, ,19.9, 
166,Lodi West,San Joaquin Valley,9/27/2000,271,3.47, ,0, ,204, ,1.4, ,25.2, ,11.3, ,17.8, ,93, ,48, ,71, ,12.5, ,1.7, ,150.3, ,19.9, 
166,Lodi West,San Joaquin Valley,9/28/2000,272,3.14, ,0, ,207, ,1.3, ,22.4,Y,8.9, ,15.5, ,95, ,52, ,74, ,10.9, ,1, ,86, ,19.4, 
166,Lodi West,San Joaquin Valley,9/29/2000,273,3.26, ,0, ,202, ,1.4, ,30.6, ,8.5, ,18.7, ,96, ,38, ,67, ,12.5, ,0.7, ,63.1, ,19.1, 
166,Lodi West,San Joaquin Valley,9/30/2000,274,3.28, ,0, ,198, ,1.6, ,33.8, ,11.4, ,21.5, ,93, ,32, ,64, ,14.3, ,0.7,Y,58.7,Y,19.5, 
166,Lodi West,San Joaquin Valley,10/1/2000,275,3.49, ,0, ,197, ,1.6, ,33.5, ,11.7, ,21.4, ,92, ,34, ,62, ,13.9, ,0.8, ,68.3, ,19.8, 
166,Lodi West,San Joaquin Valley,10/2/2000,276,3.52, ,0, ,202, ,1.4, ,28.9, ,9.8, ,18.7, ,96, ,36, ,63, ,11.6, ,1, ,88.3, ,19.7, 
166,Lodi West,San Joaquin Valley,10/3/2000,277,3.27, ,0, ,199, ,1.3, ,28.1, ,8.3, ,17.5, ,94, ,38, ,67, ,11.4, ,1.1, ,90.8, ,19.2, 
166,Lodi West,San Joaquin Valley,10/4/2000,278,3.14, ,0, ,197, ,1.3, ,26.3, ,8.7, ,16.8, ,96, ,42, ,70, ,11.4, ,1.1, ,98.2, ,18.9, 
166,Lodi West,San Joaquin Valley,10/5/2000,279,3.13, ,0, ,191, ,1.4, ,28.5, ,8.4, ,17.8, ,96, ,41, ,69, ,12.1, ,1, ,87, ,18.7, 
166,Lodi West,San Joaquin Valley,10/6/2000,280,3.13, ,0, ,186, ,1.4, ,29.2, ,10.8, ,18, ,92, ,39, ,68, ,12, ,1.3, ,115.7, ,18.8, 
166,Lodi West,San Joaquin Valley,10/7/2000,281,2.85, ,0, ,179, ,1.4, ,23.6, ,9.5, ,16.8, ,91, ,52, ,73, ,11.8, ,1.5, ,132.2, ,18.9, 
166,Lodi West,San Joaquin Valley,10/8/2000,282,2.86, ,0, ,183, ,1.3, ,27.3, ,7.5, ,16.5, ,96, ,43, ,70, ,11.1, ,0.9, ,77.8, ,18.6, 
166,Lodi West,San Joaquin Valley,10/9/2000,283,0.97, ,1, ,82, ,1.4, ,21.4, ,8.1, ,14.7, ,94, ,65, ,83, ,11.8, ,1.1, ,94.3, ,18.2, 
166,Lodi West,San Joaquin Valley,10/10/2000,284,0.81, ,83, ,80, ,1.3, ,15.5,Y,9.6, ,12.9, ,97, ,79, ,89, ,11.1, ,1.1, ,94.1, ,18, 
166,Lodi West,San Joaquin Valley,10/11/2000,285,0.33, ,30, ,51, ,1.3, ,15.2,Y,8.2, ,12.5, ,96, ,82, ,92, ,11.1, ,0.8, ,71.5, ,16.9, 
166,Lodi West,San Joaquin Valley,10/12/2000,286,1.6, ,2, ,130, ,1.2, ,19.3, ,7.4, ,12.1, ,98, ,61, ,86, ,9.8, ,0.6, ,54.4, ,16.2, 
166,Lodi West,San Joaquin Valley,10/13/2000,287,2.68, ,1, ,193, ,1.3, ,22, ,5.8, ,13.8, ,97, ,52, ,79, ,10.3, ,0.8, ,65.3, ,16.1, 
166,Lodi West,San Joaquin Valley,10/14/2000,288,2.66, ,0, ,190, ,1.3, ,24.3, ,6.2, ,15.1, ,97, ,45, ,77, ,11.1, ,0.7, ,62, ,16.1, 
166,Lodi West,San Joaquin Valley,10/15/2000,289,2.67, ,0, ,188, ,1.3, ,24.8, ,6.1, ,14.9, ,98, ,45, ,77, ,10.9, ,0.7, ,63, ,16.3, 
166,Lodi West,San Joaquin Valley,10/16/2000,290,2.7, ,0, ,187, ,1.3, ,26.4, ,5.9, ,15.1, ,99, ,42, ,76, ,11, ,0.6, ,53.1, ,16.3, 
166,Lodi West,San Joaquin Valley,10/17/2000,291,2.67, ,0, ,181, ,1.4, ,26.9, ,6.6, ,16.3, ,97, ,42, ,73, ,11.5, ,0.7, ,63.8, ,16.2, 
166,Lodi West,San Joaquin Valley,10/18/2000,292,2.65, ,0, ,173, ,1.3, ,26.5, ,9.1, ,16.8, ,95, ,40, ,70, ,11.3, ,1, ,87.2, ,18.1, 
166,Lodi West,San Joaquin Valley,10/19/2000,293,2.39, ,0, ,169, ,1.3, ,25.4, ,6.1, ,15.1, ,97, ,47, ,78, ,11.3, ,0.8, ,65.5, ,15.9, 
166,Lodi West,San Joaquin Valley,10/20/2000,294,1.96, ,0, ,136, ,1.4, ,22.8, ,7.6, ,15.3, ,96, ,57, ,80, ,11.9, ,1.4, ,120.9, ,15.9, 
166,Lodi West,San Joaquin Valley,10/21/2000,295,3.68, ,0, ,169, ,0.9, ,21.6, ,9.8, ,15.7, ,88, ,30, ,48, ,4.9, ,3,Y,257,Y,16.1, 
166,Lodi West,San Joaquin Valley,10/22/2000,296,4.33, ,0, ,182, ,0.5,Y,22.6, ,7.3, ,16.2, ,61, ,18, ,29,Y,-1.9,Y,3.2,R,273.1,R,15.3, 
166,Lodi West,San Joaquin Valley,10/23/2000,297,2.53, ,0, ,170, ,0.8, ,24.7, ,2.9, ,13.3, ,81, ,22, ,49, ,2.9, ,0.9, ,75.9, ,14.8, 
166,Lodi West,San Joaquin Valley,10/24/2000,298,2.4, ,0, ,160, ,1, ,26.3, ,5.2, ,15, ,88, ,28, ,59, ,7, ,0.9, ,75.2, ,14.8, 
166,Lodi West,San Joaquin Valley,10/25/2000,299,0.63, ,33, ,65, ,1.3, ,19, ,8.8, ,13, ,94, ,57, ,84, ,10.4, ,1.1, ,91, ,15.2, 
166,Lodi West,San Joaquin Valley,10/26/2000,300,0.63, ,93, ,63, ,1.3, ,15.7,Y,11.2, ,12.7, ,95, ,71, ,87, ,10.6, ,1.5, ,132.5, ,15.3, 
166,Lodi West,San Joaquin Valley,10/27/2000,301,1.88, ,27, ,152, ,1.3, ,19.5, ,10.1, ,13.7, ,96, ,60, ,83, ,10.9, ,0.9, ,79.9, ,15.4, 
166,Lodi West,San Joaquin Valley,10/28/2000,302,0.12, ,188, ,33, ,1.3, ,15.2,Y,9.2, ,12, ,96, ,83, ,92, ,10.7, ,1.2, ,106.5, ,15.2, 
166,Lodi West,San Joaquin Valley,10/29/2000,303,1.33, ,11, ,110, ,1.2, ,17.2,Y,8.1, ,12.2, ,96, ,57, ,82, ,9.3, ,1, ,83.2, ,15.1, 
166,Lodi West,San Joaquin Valley,10/30/2000,304,0.87, ,48, ,91, ,1.2, ,16.3,Y,7.3, ,10.8, ,96, ,68, ,89, ,9.1, ,1.1, ,98.8, ,15.1, 
166,Lodi West,San Joaquin Valley,10/31/2000,305,1.79, ,1, ,150, ,1, ,19.2, ,5.1, ,10.4, ,97, ,53, ,83, ,7.6, ,1, ,83.4, ,14.6, 
166,Lodi West,San Joaquin Valley,11/1/2000,306,1.54,R,1, ,128, ,1.2, ,17.6, ,5.2, ,11.3, ,98, ,63, ,86, ,9, ,0.7, ,56.5, ,14, 
166,Lodi West,San Joaquin Valley,11/2/2000,307,2, ,0, ,152, ,1.2, ,20.3, ,5.5, ,12.2, ,100, ,49, ,81, ,9, ,0.6, ,55.1, ,14, 
166,Lodi West,San Joaquin Valley,11/3/2000,308,1.83, ,1, ,147, ,1.2, ,21.5, ,4, ,11.7, ,99, ,52, ,84, ,9.1, ,0.5, ,42.7, ,13.8, 
166,Lodi West,San Joaquin Valley,11/4/2000,309,1.92, ,1, ,145, ,1.2, ,21.2, ,5.3, ,12.6, ,99, ,45, ,81, ,9.3, ,0.7, ,58.9, ,13.8, 
166,Lodi West,San Joaquin Valley,11/5/2000,310,1.28, ,1, ,104, ,1.2, ,19.7, ,6.3, ,12.1, ,100, ,60, ,87, ,10.1, ,0.8, ,66, ,13.9, 
166,Lodi West,San Joaquin Valley,11/6/2000,311,2.56, ,0, ,149, ,0.9, ,19.4, ,4.8, ,12.2, ,99, ,38, ,65, ,5.7, ,2.1, ,182, ,13.7, 
166,Lodi West,San Joaquin Valley,11/7/2000,312,2.18, ,0, ,152, ,0.9, ,20.3, ,6.7, ,12.5, ,86, ,34, ,59, ,4.7, ,1.3, ,111.9, ,13.5, 
166,Lodi West,San Joaquin Valley,11/8/2000,313,1.87, ,0, ,133, ,1.1, ,20.9, ,7.8, ,12.5, ,91, ,52, ,74, ,7.9, ,1.6, ,136.3, ,13.6, 
166,Lodi West,San Joaquin Valley,11/9/2000,314,1.83, ,0, ,147, ,0.8, ,15.2, ,5.1, ,9.3, ,88, ,49, ,70, ,4.1, ,1.2, ,102.8, ,13.6, 
166,Lodi West,San Joaquin Valley,11/10/2000,315,1.34, ,0, ,122, ,0.8, ,13.5, ,0.5, ,6.2, ,95, ,54, ,80, ,3.1, ,0.7, ,60.4, ,12.8, 
166,Lodi West,San Joaquin Valley,11/11/2000,316,1.61, ,0, ,137, ,0.7, ,13.7, ,-0.4, ,6, ,96, ,50, ,76, ,2.1, ,1, ,89.2, ,11.9, 
166,Lodi West,San Joaquin Valley,11/12/2000,317,1.58, ,0, ,145, ,0.6, ,14.9, ,-2.8, ,5.2, ,94, ,36, ,70, ,0.2, ,0.6, ,47.5, ,11.2, 
166,Lodi West,San Joaquin Valley,11/13/2000,318,0.79, ,24, ,77, ,0.7, ,12.2, ,-3, ,4.8, ,96, ,54, ,86, ,2.6, ,0.8, ,69.5, ,10.6, 
166,Lodi West,San Joaquin Valley,11/14/2000,319,1.15, ,2, ,124, ,0.8, ,10.5, ,0, ,4.7, ,96, ,71, ,91, ,3.4, ,0.9, ,77.8, ,10.6, 
166,Lodi West,San Joaquin Valley,11/15/2000,320,0.81, ,1, ,92, ,0.8, ,9.8,Y,-1.6, ,4.1, ,97, ,79, ,93, ,3.1, ,0.7, ,57.4, ,10.2, 
166,Lodi West,San Joaquin Valley,11/16/2000,321,1.32, ,1, ,126, ,0.8, ,13.2, ,-0.5, ,5.4, ,96, ,53, ,84, ,3, ,0.7, ,56.8, ,10.4, 
166,Lodi West,San Joaquin Valley,11/17/2000,322,1.44, ,1, ,133, ,0.7, ,15.8, ,-2.7, ,4.9, ,96, ,47, ,79, ,1.5, ,0.6, ,49.4, ,9.9, 
166,Lodi West,San Joaquin Valley,11/18/2000,323,1.42,R,0, ,128, ,0.7, ,17.2, ,-1.7, ,6.7, ,94, ,46, ,75, ,2.7, ,0.6, ,55.8, ,9.7, 
166,Lodi West,San Joaquin Valley,11/19/2000,324,1.47, ,0, ,129, ,0.7, ,16.4, ,-0.9, ,6.2, ,96, ,47, ,78, ,2.7, ,0.7, ,57.5, ,9.7, 
166,Lodi West,San Joaquin Valley,11/20/2000,325,1.39, ,1, ,125, ,0.8, ,16.7, ,-1.8, ,6.1, ,96, ,50, ,81, ,3, ,0.6, ,52.6, ,9.5, 
166,Lodi West,San Joaquin Valley,11/21/2000,326,0.15, ,76,H,35, ,0.9, ,8.7,Y,0.8, ,5.5, ,97, ,84, ,96, ,4.9, ,0.7,H,57.5,H,9.5, 
166,Lodi West,San Joaquin Valley,11/22/2000,327,0.59, ,0,R,26, ,0.9, ,13.4, ,4, ,6.9, ,98, ,78, ,93, ,5.9, ,0.6, ,51.8, ,10.4, 
166,Lodi West,San Joaquin Valley,11/23/2000,328,0.73, ,0.1, ,79, ,1, ,12.9, ,1.5, ,7.4, ,99, ,79, ,95, ,6.7, ,0.7, ,61.7, ,10.2, 
166,Lodi West,San Joaquin Valley,11/24/2000,329,0.73, ,0, ,79, ,1, ,14.6, ,5, ,8.9, ,100, ,69, ,92, ,7.7, ,0.9, ,78.3, ,10.7, 
166,Lodi West,San Joaquin Valley,11/25/2000,330,0.03, ,0.2, ,28, ,0.9, ,8,Y,0.4, ,5.8, ,100, ,98, ,100, ,5.9, ,0.7, ,58.4, ,10.5, 
166,Lodi West,San Joaquin Valley,11/26/2000,331,0.04, ,0, ,25, ,1, ,9.1,Y,7, ,7.9, ,100, ,92, ,96, ,7.3, ,0.7, ,60.1, ,10.8, 
166,Lodi West,San Joaquin Valley,11/27/2000,332,0, ,0, ,21, ,1, ,9.1,Y,7.3, ,8.3, ,96, ,93, ,95, ,7.5, ,0.8, ,73.3, ,11.1, 
166,Lodi West,San Joaquin Valley,11/28/2000,333,0, ,0, ,18, ,1.1, ,9,Y,7.8, ,8.4, ,100, ,93, ,97, ,7.8, ,0.9, ,77.5, ,11.3, 
166,Lodi West,San Joaquin Valley,11/29/2000,334,0.57, ,2.6, ,63, ,1.1, ,14.5, ,4.6, ,8.9, ,100, ,82, ,96, ,8.3, ,1.3, ,111.1, ,11.3, 
166,Lodi West,San Joaquin Valley,11/30/2000,335,1.05,R,0.2, ,107, ,0.9, ,15.1, ,1.4, ,6.8, ,100, ,65, ,95, ,6, ,0.7, ,60.1, ,10.8, 
166,Lodi West,San Joaquin Valley,12/1/2000,336,0.57, ,0.2, ,69, ,0.9, ,13.6, ,0.3, ,5.3, ,100, ,80, ,99, ,5, ,0.5, ,41.2, ,10.2, 
166,Lodi West,San Joaquin Valley,12/2/2000,337,0.51, ,0.2, ,69, ,0.9, ,13.2, ,0.3, ,5.1, ,100, ,88, ,100, ,5.2, ,0.7, ,56.5, ,9.8, 
166,Lodi West,San Joaquin Valley,12/3/2000,338,0.13,R,0.3, ,39, ,1.9,R,13.8, ,4.6, ,8.7, ,100, ,100, ,100,R,,I,0.7, ,59.5, ,12.8, 
166,Lodi West,San Joaquin Valley,12/4/2000,339,0.41,R,0.1, ,69, ,2.6,R,14.3, ,6.9, ,10.9, ,100, ,100, ,100,R,,I,0.8, ,65.5, ,15.8,R
166,Lodi West,San Joaquin Valley,12/5/2000,340,0.31,R,0.1, ,63, ,,M,13.8, ,6.3, ,10.3, ,100,H,100,H,,M,,M,0.8, ,67.9, ,15.7,R
166,Lodi West,San Joaquin Valley,12/6/2000,341,0.29,R,0.1, ,67, ,,M,13.9, ,2.6, ,9, ,100,H,100,H,,M,,M,0.7, ,58.7, ,15,Y
166,Lodi West,San Joaquin Valley,12/7/2000,342,0.59,R,0, ,82, ,,M,16.5, ,4.6, ,10.2, ,100,H,74,H,,M,,M,0.6, ,54.1, ,12.7, 
166,Lodi West,San Joaquin Valley,12/8/2000,343,1.25,R,0, ,113, ,1.7,R,18.5, ,5.5, ,12, ,100, ,55, ,100,R,,I,0.6, ,48.4, ,12.8,H
166,Lodi West,San Joaquin Valley,12/9/2000,344,0.46, ,0, ,54, ,1.1, ,14.4, ,3.5, ,9.4, ,100, ,82, ,96, ,8.8, ,0.6, ,52.3, ,10.6, 
166,Lodi West,San Joaquin Valley,12/10/2000,345,0.26,R,0, ,48, ,2.9,R,19.8, ,10.6,Y,15.4, ,100, ,100, ,100,R,,I,0.9, ,75.9, ,15,Y
166,Lodi West,San Joaquin Valley,12/11/2000,346,0.4,R,9.1, ,57, ,3.4,R,20.2, ,11.6,Y,15.4, ,100, ,100, ,100,R,,I,0.7, ,63.2, ,,S
166,Lodi West,San Joaquin Valley,12/12/2000,347,1.09,R,0.1, ,119, ,1.8,R,15.8, ,4.5, ,9.6, ,100, ,79, ,100,R,,I,1, ,84.5, ,13.3,H
166,Lodi West,San Joaquin Valley,12/13/2000,348,0.68, ,1, ,56, ,1, ,13.2, ,5.5, ,9.4, ,96, ,72, ,85, ,6.9, ,1.8, ,157.3, ,10.9, 
166,Lodi West,San Joaquin Valley,12/14/2000,349,0.12,R,2.5, ,39, ,2.3,R,19.6, ,8.8, ,13, ,100, ,96, ,100,R,,I,1.5, ,130.5, ,13.7,Y
166,Lodi West,San Joaquin Valley,12/15/2000,350,0.84,R,0, ,89, ,2.5,R,19.5, ,7.2, ,14, ,100, ,83, ,100,R,,I,1.4, ,121.7, ,14.4,Y
166,Lodi West,San Joaquin Valley,12/16/2000,351,1.02,R,0, ,100, ,1.2, ,15.2, ,4, ,9.2, ,100, ,70, ,100, ,10.2, ,0.9, ,78, ,12.4, 
166,Lodi West,San Joaquin Valley,12/17/2000,352,1.5, ,0.2, ,114, ,0.8, ,15.7, ,1.8, ,8.1, ,98, ,43, ,72, ,3.4, ,1.6, ,134.4, ,10.6, 
166,Lodi West,San Joaquin Valley,12/18/2000,353,1.08, ,0.2, ,109, ,0.8, ,14.8, ,-0.1, ,5.8, ,97, ,64, ,90, ,4.3, ,0.6, ,53.5, ,10, 
166,Lodi West,San Joaquin Valley,12/19/2000,354,0.65, ,0.1, ,79, ,0.9, ,13.4, ,1, ,5.3, ,98, ,74, ,96, ,4.7, ,0.6, ,51.8, ,9.7, 
166,Lodi West,San Joaquin Valley,12/20/2000,355,0.91, ,0.1, ,93, ,0.8, ,14.1, ,-0.1, ,6, ,98, ,62, ,88, ,4.1, ,0.6, ,53.1, ,9.4, 
166,Lodi West,San Joaquin Valley,12/21/2000,356,0.7, ,0.2, ,75, ,0.9, ,15.2, ,-0.2, ,7.3, ,97, ,65, ,88, ,5.5, ,0.7, ,63.8, ,9.2, 
166,Lodi West,San Joaquin Valley,12/22/2000,357,0.91,R,0, ,90, ,1, ,15, ,1.8, ,8.2, ,97, ,71, ,89, ,6.5, ,0.6, ,50.5, ,9.2, 
166,Lodi West,San Joaquin Valley,12/23/2000,358,0.6, ,0.2, ,71, ,0.9, ,12.6, ,-0.2, ,5.8, ,97, ,80, ,94, ,5, ,0.5, ,41.2, ,9.1, 
166,Lodi West,San Joaquin Valley,12/24/2000,359,0.93, ,0.1, ,89, ,0.8, ,13.4, ,2.4, ,7, ,98, ,63, ,84, ,4.4, ,1, ,82.5, ,9.2, 
166,Lodi West,San Joaquin Valley,12/25/2000,360,0.49, ,0, ,63, ,0.7, ,10.9, ,-2.4, ,3.9, ,97, ,72, ,90, ,2.5, ,0.6, ,53, ,8.6, 
166,Lodi West,San Joaquin Valley,12/26/2000,361,0.96, ,0.2, ,102, ,0.8, ,15.5, ,-0.6, ,4.6, ,98, ,56, ,89, ,3, ,0.7, ,56.4, ,8.4, 
166,Lodi West,San Joaquin Valley,12/27/2000,362,0.71, ,0.1, ,84, ,0.7, ,13.4, ,-1.2, ,3.2, ,98, ,66, ,93, ,2.2, ,0.5, ,41.4, ,8.1, 
166,Lodi West,San Joaquin Valley,12/28/2000,363,0.95, ,0,R,18, ,,M,14.9, ,,M,,M,98,H,54,H,,M,,M,0.5, ,46.3, ,8, 
166,Lodi West,San Joaquin Valley,12/29/2000,364,0.84,R,0.1, ,91, ,0.7, ,13.6, ,-2.8, ,3.5, ,94, ,65, ,90, ,1.9, ,0.5, ,41.7, ,7.5, 
166,Lodi West,San Joaquin Valley,12/30/2000,365,1, ,0.1, ,108, ,0.7, ,13.3, ,-2.5, ,3.6, ,95, ,60, ,88, ,1.8, ,0.5, ,43.7, ,7.4, 
166,Lodi West,San Joaquin Valley,12/31/2000,366,0.66, ,0.2, ,83, ,0.7, ,12.9, ,-2, ,3, ,95, ,70, ,95, ,2.2, ,0.5, ,44.3, ,7.3, 
166,Lodi West,San Joaquin Valley,1/1/2001,1,0.41, ,0.3, ,60, ,0.7, ,9.3, ,-0.3, ,3, ,96, ,95, ,97, ,2.6, ,0.7, ,59.7, ,7.4, 
166,Lodi West,San Joaquin Valley,1/2/2001,2,0.67, ,0.3, ,79, ,0.8, ,14, ,-0.2, ,4.2, ,96, ,66, ,94, ,3.3, ,0.6, ,49.9, ,7.7, 
166,Lodi West,San Joaquin Valley,1/3/2001,3,0.8,R,0.1, ,92, ,0.7, ,15, ,-2, ,3.5, ,96, ,59, ,90, ,2, ,0.5, ,39.4, ,7.6, 
166,Lodi West,San Joaquin Valley,1/4/2001,4,1.17,R,0.2, ,119, ,0.8, ,15.1, ,-2.9, ,4.8, ,95, ,60, ,88, ,2.9, ,0.5, ,39.1, ,7.4, 
166,Lodi West,San Joaquin Valley,1/5/2001,5,1,R,0.2, ,105, ,0.7, ,15.6, ,-2, ,4.3, ,96, ,54, ,87, ,2.3, ,0.6, ,50.6, ,7.4, 
166,Lodi West,San Joaquin Valley,1/6/2001,6,1.11,R,0.1, ,107, ,0.8, ,15.2, ,-1.8, ,5.8, ,95, ,57, ,84, ,3.3, ,0.5, ,40.9, ,7.4, 
166,Lodi West,San Joaquin Valley,1/7/2001,7,0.43, ,0.4, ,58, ,0.8, ,10.1, ,-0.3, ,5.8, ,96, ,81, ,90, ,4.3, ,0.5, ,45.6, ,7.5, 
166,Lodi West,San Joaquin Valley,1/8/2001,8,0.11, ,24.9, ,27, ,1.1, ,12.2, ,5.7, ,9.2, ,95, ,89, ,94, ,8.2, ,1, ,90.5, ,8.3, 
166,Lodi West,San Joaquin Valley,1/9/2001,9,0.42, ,0.5, ,49, ,1, ,11, ,1.5, ,8, ,96, ,79, ,89, ,6.2, ,1.4, ,125.1, ,8.7, 
166,Lodi West,San Joaquin Valley,1/10/2001,10,0.14, ,20.1, ,16, ,1, ,11.2, ,6.5, ,8.9, ,91, ,82, ,88, ,7, ,2.8,Y,246.2,Y,8.9, 
166,Lodi West,San Joaquin Valley,1/11/2001,11,0.14,R,3.2, ,43, ,1.9,R,16, ,7.3, ,11.3, ,100, ,87, ,100,R,,I,2.5,Y,220.2,Y,11.7, 
166,Lodi West,San Joaquin Valley,1/12/2001,12,0.5,H,,M,,M,,M,,M,,M,,M,100,H,100,H,,M,,M,,M,,M,,M
166,Lodi West,San Joaquin Valley,1/13/2001,13,0.54,H,,M,,M,,M,,M,,M,,M,,H,,H,,M,,M,,M,,M,,M
166,Lodi West,San Joaquin Valley,1/14/2001,14,0.59,H,,M,,M,,M,,M,,M,,M,,H,,H,,M,,M,,M,,M,,M
166,Lodi West,San Joaquin Valley,1/15/2001,15,0.63,H,,M,,M,,M,,M,,M,,M,,H,,H,,M,,M,,M,,M,,M
166,Lodi West,San Joaquin Valley,1/16/2001,16,0.66,H,,M,,M,,M,,M,,M,,M,,H,,H,,M,,M,,M,,M,,M
166,Lodi West,San Joaquin Valley,1/17/2001,17,0.64,H,,M,,M,,M,,M,,M,,M,,H,,H,,M,,M,,M,,M,,M
166,Lodi West,San Joaquin Valley,1/18/2001,18,0.78,H,0,H,12,H,,M,11, ,0, ,7.1,H,81,H,50,H,,M,,M,0.5,H,40.2,H,7.3,H
166,Lodi West,San Joaquin Valley,1/19/2001,19,1.22, ,0, ,112, ,0.8, ,14.6, ,1.5, ,7.3, ,90, ,50, ,74, ,2.9, ,0.7, ,57.5, ,7.7, 
166,Lodi West,San Joaquin Valley,1/20/2001,20,0.8, ,0, ,86, ,0.7, ,12.3, ,-0.7, ,4.7, ,95, ,62, ,85, ,2.3, ,0.7, ,59.9, ,7.7, 
166,Lodi West,San Joaquin Valley,1/21/2001,21,0.94, ,0.1, ,93, ,0.8, ,14.1, ,-1.1, ,5.5, ,96, ,57, ,85, ,3.2, ,0.7, ,57.2, ,7.6, 
166,Lodi West,San Joaquin Valley,1/22/2001,22,1.54, ,0, ,134, ,0.8, ,18.6, ,0.4, ,7.8, ,96, ,45, ,77, ,4, ,0.6, ,55, ,7.9, 
166,Lodi West,San Joaquin Valley,1/23/2001,23,0.24, ,6.1,R,10, ,1, ,10.4, ,8.8, ,9.6, ,93, ,74, ,87, ,7.5, ,1.3, ,114, ,8.4, 
166,Lodi West,San Joaquin Valley,1/24/2001,24,0.98, ,0.6, ,88, ,0.9, ,13.3, ,3.9, ,8.2, ,93, ,59, ,81, ,5.1, ,1.3, ,116.5, ,8.7, 
166,Lodi West,San Joaquin Valley,1/25/2001,25,0.52, ,18.1, ,47, ,0.8, ,10.9, ,2.9, ,6.4, ,94, ,66, ,87, ,4.4, ,2, ,173.9, ,8.4, 
166,Lodi West,San Joaquin Valley,1/26/2001,26,1.46, ,0.1, ,141, ,0.8, ,12.9, ,3.1, ,6.7, ,95, ,60, ,85, ,4.3, ,1.6, ,135.8, ,8.4, 
166,Lodi West,San Joaquin Valley,1/27/2001,27,1.71, ,0, ,152, ,0.7, ,14.9, ,0.6, ,6.4, ,91, ,49, ,74, ,2.1, ,1.4, ,123.5, ,8.3, 
