date,sample_id,Rep,pH,TA,Brix,treatment ,pixel_number,Rep1
8/20/2019,B1R2,2,3.06,8.5,19.8,1,34,2
8/20/2019,B1R2,3,3.07,8.42,19.9,1,34,2
8/20/2019,B1R3,1,3.21,6.67,21.3,1,55,3
8/20/2019,B1R3,2,3.23,6.84,20.8,1,55,3
8/20/2019,B1R3,3,3.27,6.74,21.4,1,55,3
8/20/2019,B1R4,1,3.3,6.06,22.3,1,67,1
8/20/2019,B1R4,2,3.28,6.5,21.6,1,67,1
8/20/2019,B1R4,3,3.3,6.51,21.8,1,67,1
8/20/2019,B2R1,1,3.2,6.35,20.9,2,23,1
8/20/2019,B2R1,2,3.13,7.21,20.9,2,23,1
8/20/2019,B2R1,3,3.14,7.05,21,2,23,1
8/20/2019,B2R2,1,3.14,7.5,20.6,2,35,2
8/20/2019,B2R2,2,3.2,7.45,20.7,2,35,2
8/20/2019,B2R2,3,3.19,7.28,20.9,2,35,2
8/20/2019,B2R3,1,3.23,6.66,20.5,2,48,3
8/20/2019,B2R3,2,3.25,6.56,20.6,2,48,3
8/20/2019,B2R3,3,3.29,6.52,21,2,48,3
8/20/2019,B3R1,1,3.33,5.85,21.1,3,27,1
8/20/2019,B3R1,2,3.31,6.3,20.8,3,27,1
8/20/2019,B3R1,3,3.3,6.25,21.2,3,27,1
8/20/2019,B3R2,1,3.29,6.5,20.6,3,45,2
8/20/2019,B3R2,2,3.2,7.3,20,3,45,2
8/20/2019,B3R2,3,3.21,6.92,20.6,3,45,2
8/20/2019,B3R3,1,3.22,7.35,20.5,3,54,3
8/20/2019,B3R3,2,3.27,6.86,20.3,3,54,3
8/20/2019,B3R3,3,3.25,7.19,20.5,3,54,3
9/3/2019,B1R2,1,3.31,6.09,22.8,1,34,2
9/3/2019,B1R2,2,3.32,6.17,23.1,1,34,2
9/3/2019,B1R2,3,3.32,6.08,23.1,1,34,2
9/3/2019,B1R3,1,3.55,4.65,25,1,55,3
9/3/2019,B1R3,2,3.57,4.52,24.8,1,55,3
9/3/2019,B1R3,3,3.58,4.65,25.1,1,55,3
9/3/2019,B1R4,1,3.55,4.95,24.4,1,67,1
9/3/2019,B1R4,2,3.55,4.9,24.4,1,67,1
9/3/2019,B1R4,3,3.56,4.87,24.7,1,67,1
9/3/2019,B2R1,1,3.35,5.16,22.7,2,23,1
9/3/2019,B2R1,2,3.36,5.03,22.7,2,23,1
9/3/2019,B2R1,3,3.4,5.18,22.9,2,23,1
9/3/2019,B2R2,1,3.48,4.65,23.9,2,35,2
9/3/2019,B2R2,2,3.51,4.77,24.3,2,35,2
9/3/2019,B2R2,3,3.51,4.96,24.4,2,35,2
9/3/2019,B2R3,1,3.33,5.23,23.6,2,48,3
9/3/2019,B2R3,2,3.32,5.36,23.9,2,48,3
9/3/2019,B2R3,3,3.26,5.65,23.6,2,48,3
9/3/2019,B3R1,1,3.55,4.56,24.4,3,27,1
9/3/2019,B3R1,2,3.53,4.74,24.3,3,27,1
9/3/2019,B3R1,3,3.51,4.94,24.2,3,27,1
9/3/2019,B3R2,1,3.48,4.87,23.3,3,45,2
9/3/2019,B3R2,2,3.5,4.78,23.5,3,45,2
9/3/2019,B3R2,3,3.49,4.82,23.3,3,45,2
9/3/2019,B3R3,1,3.52,4.89,23.2,3,54,3
9/3/2019,B3R3,2,3.51,4.9,23.5,3,54,3
9/3/2019,B3R3,3,3.51,4.83,23.5,3,54,3
9/12/2019,B1R2,1,3.36,4.89,24.1,1,34,2
9/12/2019,B1R2,2,3.41,4.65,24.2,1,34,2
9/12/2019,B1R2,3,3.37,4.92,24.5,1,34,2
9/12/2019,B1R3,1,3.74,3.58,25.9,1,55,3
9/12/2019,B1R3,2,3.67,3.89,25.6,1,55,3
9/12/2019,B1R3,3,3.7,3.77,25.9,1,55,3
9/12/2019,B1R4,1,3.64,4.1,25.5,1,67,1
9/12/2019,B1R4,2,3.64,3.98,25.5,1,67,1
9/12/2019,B1R4,3,3.65,4.13,25.3,1,67,1
9/19/2019,B2R1,1,3.4,5.2,25.8,2,23,1
9/19/2019,B2R1,2,3.4,5.34,25.2,2,23,1
9/19/2019,B2R1,3,3.41,5.58,25.3,2,23,1
9/19/2019,B2R2,1,3.45,5.1,25.6,2,35,2
9/19/2019,B2R2,2,3.49,5.11,25.6,2,35,2
9/19/2019,B2R2,3,3.49,5.24,25.3,2,35,2
9/19/2019,B2R3,1,3.65,4.28,26.5,2,48,3
9/19/2019,B2R3,2,3.6,4.34,26.5,2,48,3
9/19/2019,B2R3,3,3.59,4.4,26.3,2,48,3
9/19/2019,B3R1,1,3.6,4.4,26.3,3,27,1
9/19/2019,B3R1,2,3.66,4.55,25.8,3,27,1
9/19/2019,B3R1,3,3.66,4.52,25.9,3,27,1
9/19/2019,B3R2,1,3.67,4.23,25.1,3,45,2
9/19/2019,B3R2,2,3.62,4.26,25.3,3,45,2
9/19/2019,B3R2,3,3.65,4.2,25,3,45,2
9/19/2019,B3R3,1,3.67,4.06,25.5,3,54,3
9/19/2019,B3R3,2,3.72,4.06,25.5,3,54,3
9/19/2019,B3R3,3,3.68,4.15,25.2,3,54,3
